title,link,job_description,published,companyName,companyLocation
Computer Vision Engineer (AI/ML),https://in.indeed.com/rc/clk?jk=7caa368429827a6d&fccid=d335f90f24fd2fbe&vjs=3,"
Fluency in C/C++, Python, OpenCV, OpenGL, MATLAB.
Experience in Image Segmentation, Object Tracking, Object Analysis, Motion Detection etc.
",Posted21 days ago,Soaron Aerospace Innovations,"Remote in Hyderabad, Telangana"
Machine Learning Engineer,https://in.indeed.com/rc/clk?jk=0b0331e582bcfc19&fccid=f426e55436250dbc&vjs=3,"
At least 3 years' experience as a machine learning engineer.
We are looking for a highly capable machine learning engineer to optimize our machine learning…
",Posted29 days ago,Brilworks,Remote
Staff Engineer - ML Platform Engineer,https://in.indeed.com/rc/clk?jk=1d8a9f0ef7b05ebe&fccid=0d167dde0758739a&vjs=3,"
We are looking for motivated engineers with a solid foundation for Machine Learning/ Deep Learning architecture & service development experience.
",Posted30+ days ago,Walmart Global Tech India,"Bengaluru, Karnataka"
Software Development Engineer in Test - (AI/ML Testing),https://in.indeed.com/company/SIERA.AI/jobs/Software-Development-Engineer-Test-a56269cf8a6c9417?fccid=45187f5399147c58&vjs=3,"
We are looking for a meticulous SDET to contribute to and review the creation of designs for production software.
Experience with JEST/Mocha/Cypress.
",Posted24 days ago,SIERA.AI,"Bengaluru, Karnataka"
ML Engineer,https://in.indeed.com/rc/clk?jk=206f26a55d336400&fccid=cd71a43b86fcac28&vjs=3,"
Employment Type: Permanent Job, Full Time.
Deep Learning knowledge will be a plus.
",Posted30 days ago,InOpTra Digital,"Remote in Bengaluru, Karnataka"
Health Engineer (LGOT),https://in.indeed.com/rc/clk?jk=ca1441b78dbd7384&fccid=2d0740e02e80cf22&vjs=3,"
This team is responsible for defining the maintenance systems of tomorrow for the aircraft, designing the BITE specifications for the systems, providing the…
",Posted30+ days ago,Airbus,"Bengaluru, Karnataka"
AI/ML data engineer,https://in.indeed.com/rc/clk?jk=e65adc0243fb31e9&fccid=a2faf1301ac6ad4b&vjs=3,"
Consumer Goods and Building Technology.
Migration of datasets to the new data inventory.
Migrated dataset into our Object- and Metadata storage.
",Posted25 days ago,Bosch Group,"Bengaluru, Karnataka"
Machine Learning Engineer,https://in.indeed.com/rc/clk?jk=0d3149b7d6af7879&fccid=1ae4b0fd2737468f&vjs=3,"
A Machine Learning/Deep Learning Engineer who has experience with scaling model training from one.
Must have familiarity with popular Deep Learning Frameworks…
",PostedToday,Quantiphi,"Mumbai, Maharashtra"
Senior Research Engineer (AI/ML),https://in.indeed.com/rc/clk?jk=b781568c2ab0fe0b&fccid=42a8d05b78ce8614&vjs=3,"
Ability to manage and work with a small team of 2-3 research engineers.
Work with a team of ML engineers to deliver solutions in time and with efficiency.
",Posted29 days ago,SHL Global,"Gurgaon, Haryana"
Lead ML Engineer,https://in.indeed.com/rc/clk?jk=a3a0002f48ad0bce&fccid=f73c231a3b916a1b&vjs=3,"
Technical leadership to the group to enable rapid development and deployment of Vision based Machine Learning based solutions.
",Posted2 days ago,Atai labs,"Hyderabad, Telangana"
QA Engineer - Consultant,https://in.indeed.com/rc/clk?jk=e6ce198d8bbfa11e&fccid=9e215d88a6b33622&vjs=3,"
To do this, the OP is built up of multiple teams including user experience/user interface designers, software architects and engineers, infrastructure and…
",Posted8 days ago,Deloitte,"Bengaluru, Karnataka"
ML Data Engineer,https://in.indeed.com/rc/clk?jk=24cb0dbd25def0b7&fccid=7442885bc0fa7c14&vjs=3,"
Facilitate and participate in the preparation of ML data sets and scoring processes.
Develop and maintain a knowledge of real-time and snapshotted data sources…
",Posted9 days ago,ServiceNow,"Temporarily Remote in Hyderabad, Telangana"
Principle Software Engineer,https://in.indeed.com/rc/clk?jk=6a02242fe83761ab&fccid=36aa8cd93a88392d&vjs=3,"
This role will be responsible for design, configuration, and custom development of solutions using C#, JavaScript, TypeScript, SQL, Oracle PL/SQL.
",Posted30+ days ago,Intelsat,"Chennai, Tamil Nadu"
Associate Software Engineer - UI Developer,https://in.indeed.com/rc/clk?jk=07ba56fb0ea445c5&fccid=edae4285faf6c2f0&vjs=3,"
Develop tools and applications by producing clean, efficient code.
Integrate software components into a fully functional software system.
",PostedToday,BOEING,"Bengaluru, Karnataka"
Machine Learning Engineer,https://in.indeed.com/rc/clk?jk=07f93e13f36c30b5&fccid=c1099851e9794854&vjs=3,"
Apple's IS&T team looking for a machine learning expert to help us extract the value from our data.
Responsibilities include data collection, cleaning,…
",Posted2 days ago,Apple,"Hyderabad, Telangana"
Engineer DevOps,https://in.indeed.com/rc/clk?jk=8bbda845c242260d&fccid=6448b8d3f449169b&vjs=3,Additional details Level P2 Requirement location India - Bengaluru Number of Position 1 Employment type ML Cluster/Group Microland Delivery Business Unit RUN …,Posted30+ days ago,Microland,"Bengaluru, Karnataka"
Sr.ML Engineer Mid-Level,https://in.indeed.com/rc/clk?jk=59997efcbae64d3c&fccid=9efc09e838c49044&vjs=3,"
1.Advanced knowledge of statistical techniques, NLP, machine learning algorithms and deep learning.
Frameworks like Tensorflow, Theano, Keras, Pytorch.
",Posted30+ days ago,Codvo.ai,"Remote in Pune, Maharashtra"
"Architect, ML Ops Engineer",https://in.indeed.com/rc/clk?jk=618251e3d0017abf&fccid=2973259ddc967948&vjs=3,"
This role will assist with defining architecture of Machine Learning / Artificial Intelligence / Advanced Analytics solutions.
",Posted30+ days ago,PepsiCo,"Hyderabad, Telangana"
Frontend Engineer,https://in.indeed.com/rc/clk?jk=8445f3723a736bd3&fccid=b3282c125f18e0c0&vjs=3,"
Mentoring and providing training to associate/junior software engineers and interns, motivating them to reach the next level;
",Posted30+ days ago,Helius Technologies,India
Software Engineer,https://in.indeed.com/rc/clk?jk=79b8987af7a5e402&fccid=6448b8d3f449169b&vjs=3,Additional details Level P1 Requirement location India - Pune Number of Position 1 Employment type ML Cluster/Group Microland Delivery Business Unit RUN -…,Posted30+ days ago,Microland,"Pune, Maharashtra"
Senior Systems Design Engineer - AI/ML,https://in.indeed.com/rc/clk?jk=65e408e0124210ad&fccid=7ae83685be939814&vjs=3,"
In this role, the individual will be responsible for creating system architecture specification that includes hardware and software architecture, performing…
",Posted30+ days ago,Xilinx,"Hyderabad, Telangana"
Senior Software Engineer (ML Platform),https://in.indeed.com/rc/clk?jk=4357896a4913b235&fccid=35c79097c1f63f3d&vjs=3,"
Data Scientists want to spend their time exploring data, crafting the right features, and optimizing their models… so far so good.
",Posted2 days ago,GO-JEK,"Bengaluru, Karnataka"
Experienced Software Engineer - Technical Lead (AI & ML),https://in.indeed.com/rc/clk?jk=8ec06632a963ba5b&fccid=edae4285faf6c2f0&vjs=3,"
The Product Incubation and Application Modernization vertical of Boeing India Engineering (BIE) Software team is currently looking for an Experienced Software…
",Posted3 days ago,BOEING,"Bengaluru, Karnataka"
,,"
Preferred educational background is Bachelors or Masters in Computer/Electrical/Mechanical engineering with a focus on Machine Learning (ML) applied to the…
",Posted9 days ago,Siemens Industry Software (India) Private Limited,"Pune, Maharashtra+1 location"
,,"
Work on complex business problems related to underwriting and risk.
Design, run and analyze A/B and multivariate hypothesis tests aimed at optimizing customer…
",Posted30+ days ago,Airtel India,"Gurgaon, Haryana"
,,"
Candidate will be responsible for building Machine Learning/ Deep learning models for NLP, forecasting and other applications.
",Posted30+ days ago,Dattendriya Data Science Solutions,"Chennai, Tamil Nadu"
,,"
Development of several ML models for specific use cases.
Coordination with software developers for integration of ML models in xcPEP.
",Posted29 days ago,Advanced Structures India Pvt Ltd,"Bengaluru, Karnataka"
,,"
Collaborate with the data engineers and data scientists on feature development in order to containerize and build out the deployment pipelines for new modules.
",Posted30+ days ago,Uniphore,"Bengaluru, Karnataka"
,,"
Design and develop performance optimization techniques for machine learning (ML) models to run efficiently on Blaize hardware.
Familiarity with ONNX is a plus.
",Posted30+ days ago,BLAIZE,"Hyderabad, Telangana"
,,"
— Ensures software applications are built with quality while conforming to corporate and regulatory processes and practices by.
",Posted30 days ago,TAC Security,"Bengaluru, Karnataka"
,,"
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",Posted30+ days ago,IBM,"Kochi, Kerala"
,,"
We provide research opportunities for solving the key problems in automated/autonomous driving domain, connected vehicle, & safety critical features.
",Posted30+ days ago,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka"
,,"
Compliance on ICS guidelines, Security and Data protection.
Compliant to SDF/TDA/RAT process and drive bank towards automating process areas removing…
",Posted30+ days ago,Standard Chartered,"Chennai, Tamil Nadu"
,,"
As a part of M365 Cloud team, we are building platforms that can extract M365 user data to power intelligence experiences, schedule data processing jobs to…
",Posted30+ days ago,Microsoft,"Bengaluru, Karnataka"
,,"
Ability to manage and work with a small team of 2-3 research engineers.
Work with a team of ML engineers to deliver solutions in time and with efficiency.
",Posted29 days ago,SHL,"Gurgaon, Haryana"
,,"
You will work with domain experts to identify the most efficient way to collect and process batch/time-series data to derive data insight.
",Posted30+ days ago,Synopsys,"Bengaluru, Karnataka"
